Dates,2.7.4,1.1.11,1.7.4,1.10.2,1.3.24,1.6.19,2.2.6,1.6.4,1.7.21,1.10.17,1.8.8,2.8.5,1.2.5,1.6.2,1.10.20,1.4.24,2.2.17,1.4.23,2.8.22,2.4.7,2.10.8,2.1.3,1.1.7,1.5.1,1.5.12,1.10.5,2.4.12,2.8.13,1.8.18,2.10.10,1.2.23,1.7.11,2.3.6,2.10.5,1.3.11,1.6.24,1.7.19,2.3.11,2.7.23,1.6.10,1.10.15,1.5.3,2.1.20,2.4.16,2.4.23,1.2.17,1.3.10,2.6.21,2.1.7,1.10.24,1.2.15,1.3.2,2.7.6,2.8.2,1.8.20,2.1.2,2.3.14,1.1.18,1.8.16,1.3.3,1.5.17,1.6.11,2.5.12,1.2.12,2.2.22,1.1.23,2.4.11,1.8.21,1.3.19,1.2.6,1.4.3,2.2.11,2.10.14,2.10.2,1.6.15,2.5.23,2.4.8,1.4.8,1.10.19,2.7.1,1.5.23,1.7.8,1.3.1,2.9.8,2.6.16,2.1.1,1.2.2,1.9.12,1.5.9,1.6.1,2.8.21,2.8.11,2.9.18,1.5.7,2.5.11,2.7.22,1.7.14,2.6.18,2.7.20,1.3.18,2.7.17,2.10.3,1.10.3,1.3.9,1.7.15,2.10.9,2.8.7,2.1.17,2.4.1,2.6.5,1.8.12,1.2.20,1.1.4,1.3.21,2.7.3,2.7.9,1.6.5,1.4.13,2.3.10,1.7.23,1.2.22,1.9.19,2.8.14,1.7.6,2.2.20,2.5.10,2.2.9,2.9.16,1.7.2,2.6.10,1.5.24,2.8.16,2.6.8,1.7.13,2.5.17,2.9.9,2.8.12,1.10.10,2.4.6,2.8.23,1.8.1,2.2.2,2.5.14,1.7.18,2.1.14,2.2.10,2.4.21
1/1/18,0.282482,0.174175,0.129445,0.225942,-0.329095,-0.350207,0.264037,0.218786,-0.258618,0.198517,0.284658,-0.206403,0.009014,-0.157406,-0.020545,-0.052487,-0.256885,-0.191235,0.202401,0.149419,0.344504,-0.340708,-0.298086,-0.106687,-0.332986,0.354731,0.119137,0.141263,0.145970,0.264091,0.342759,0.056524,0.222482,-0.087147,0.342285,-0.123412,-0.081075,-0.105961,-0.074141,-0.090086,0.036878,0.071461,0.200825,0.184189,-0.196130,0.069011,0.263959,0.098810,0.107068,0.191911,0.373219,-0.004961,-0.137533,0.293994,-0.065278,0.178852,-0.100000,-0.071655,0.243285,-0.064654,-0.314063,0.281776,-0.203846,0.319894,-0.126811,0.316863,0.143600,-0.193976,-0.214548,0.079000,-0.114296,-0.278543,-0.013492,-0.368044,-0.098376,-0.070631,-0.356373,0.165141,-0.025139,0.277595,-0.187768,0.116015,-0.069662,-0.193217,0.110974,0.343837,0.331858,0.363190,-0.198987,-0.237601,-0.157721,0.071273,0.023117,-0.166533,-0.172059,0.083025,0.255922,-0.280860,-0.276521,0.360612,0.082711,0.206207,0.354174,-0.167815,0.176695,-0.278285,0.160444,0.327779,0.377718,0.055912,-0.342986,-0.204567,-0.054284,0.230940,0.186869,-0.219318,0.117560,-0.040297,-0.008836,-0.215476,0.079901,0.315019,-0.355132,0.064900,-0.236254,-0.105989,0.151032,0.124761,-0.103586,0.126934,0.153644,-0.011702,0.255894,0.003341,0.342239,0.338084,0.112551,0.228533,-0.155961,-0.326778,0.160037,-0.011726,0.324760,0.172505,-0.132640,0.205015,0.197984
1/2/18,0.159403,-0.192926,-0.268292,-0.114689,-0.231545,-0.166453,0.072750,-0.199853,-0.312103,-0.258799,0.202676,0.049403,-0.170191,-0.007486,-0.057496,-0.231120,0.262149,0.089180,-0.247250,-0.130469,-0.236436,-0.184407,0.286721,0.360715,0.235009,0.150888,0.032885,0.102640,0.252776,0.194989,0.071815,-0.219509,0.255719,0.395740,0.233584,-0.106831,-0.174949,0.201348,0.160050,0.239371,0.240657,0.224899,0.237917,-0.208893,0.297402,-0.259118,-0.207795,0.014761,0.360521,0.004190,0.171919,0.344011,-0.296553,0.168051,-0.059159,0.288970,-0.158759,0.059887,-0.202967,-0.248404,-0.295166,0.246821,0.330228,-0.143408,-0.041628,-0.021126,-0.040055,0.346309,0.244691,-0.090735,-0.066644,0.213037,-0.068526,-0.085795,0.314728,0.246272,0.203906,-0.318268,-0.266235,-0.094824,0.101006,0.033112,0.174093,0.279810,0.210762,-0.207250,-0.135222,0.061769,0.207855,0.216497,0.283356,-0.105752,-0.048538,0.301496,0.110397,0.390790,0.021943,0.283783,0.221167,0.148585,0.058939,-0.173589,0.039501,0.365131,0.399430,0.169351,0.373460,0.277025,0.390356,-0.173098,0.225116,-0.311816,-0.064458,0.306618,-0.110157,-0.336215,0.054726,0.138842,-0.270005,-0.107064,-0.325606,0.234202,-0.159808,-0.200428,0.389259,-0.140247,-0.152496,0.226247,-0.065894,0.051226,-0.286462,-0.290420,0.128019,0.090813,0.337905,-0.086772,-0.173086,-0.052343,0.342561,0.281704,0.269601,0.392262,0.322786,0.333250,0.117919,-0.229237,0.083811
1/3/18,0.318465,0.066538,0.156273,0.059124,-0.306146,0.168429,0.265947,0.130960,0.265540,0.235383,0.071646,-0.095269,-0.097432,0.161745,-0.170112,-0.223044,0.161708,-0.032223,0.125851,-0.133169,0.036645,0.117685,0.321175,-0.000848,0.071543,-0.116132,0.271240,-0.217725,-0.029015,0.138183,-0.044750,0.162441,0.239146,-0.154365,0.027576,0.243039,-0.012175,-0.280119,-0.114191,-0.016244,-0.165107,0.129569,-0.090333,-0.207339,-0.107653,-0.053746,-0.232309,0.206699,-0.052125,-0.279591,0.061726,0.074923,0.340702,0.049719,-0.095429,0.016874,-0.048581,0.149308,0.403068,-0.324053,0.217915,0.222074,-0.036935,-0.067788,0.314344,-0.210452,-0.168990,0.000609,0.193698,0.200701,0.368170,0.365476,-0.211881,-0.307463,-0.277469,0.226765,-0.327346,0.324169,-0.323152,-0.291745,0.177864,-0.084939,0.040344,0.131421,-0.255643,0.029962,-0.314873,-0.282428,-0.198345,0.075064,0.357916,-0.206540,0.175038,-0.122503,0.351065,0.286886,0.161132,-0.058920,-0.131740,-0.220666,0.054249,-0.064186,0.158898,0.165174,-0.002003,0.026451,-0.222084,0.123876,0.237770,-0.160301,0.101838,0.376878,-0.260533,0.078379,0.155750,-0.272409,-0.284366,-0.325989,0.380739,0.354330,0.365045,0.061057,-0.119266,0.047720,0.158163,0.238681,0.027122,-0.105843,-0.162257,0.238332,0.369915,0.119873,-0.187208,-0.032451,0.069950,0.338808,-0.201645,0.313137,0.164093,0.379345,-0.286117,0.068260,0.187020,0.076705,0.108347,-0.142931,0.144274
1/4/18,-0.299796,0.345893,0.336514,0.233383,0.236370,0.065656,-0.034810,0.144778,0.326153,0.153997,-0.064803,-0.306243,-0.185135,-0.147832,0.057739,0.018695,0.143990,-0.039633,-0.293075,-0.091344,-0.270987,-0.022851,0.323068,0.243432,0.339112,-0.128493,-0.222961,0.236508,0.266312,0.318230,-0.241103,-0.133256,0.033710,0.067229,-0.140549,0.237995,-0.186821,0.068281,0.349347,0.116748,0.066398,-0.072439,0.363264,0.227364,-0.155038,-0.099232,0.409072,0.257678,0.114980,0.119159,-0.191617,0.159932,0.164037,0.163868,0.241510,0.327212,0.094851,-0.301613,-0.108225,-0.150802,-0.283596,0.339953,-0.140662,0.214074,0.071275,0.246172,-0.106139,-0.158386,-0.215710,0.076985,-0.138688,0.326759,0.155440,-0.053905,0.112739,0.381133,0.317741,-0.076698,-0.057338,0.367288,-0.176601,-0.190633,0.224117,0.154207,0.230729,0.260499,0.014362,-0.259571,0.020087,0.040188,0.394890,-0.092925,0.186864,-0.182792,-0.039412,0.371221,-0.203719,0.404472,-0.169593,0.211727,0.023268,-0.068908,0.105819,-0.064704,0.215783,-0.003908,0.352604,-0.179300,-0.128167,-0.318199,-0.280757,0.069792,-0.222792,-0.130475,0.378280,-0.068763,0.157459,0.362515,-0.036466,0.207185,-0.197948,-0.069141,0.371933,-0.066559,0.233168,-0.206462,-0.095503,-0.086260,-0.156371,0.179643,-0.045951,-0.206769,0.088830,-0.040271,0.223784,0.086605,-0.295378,0.076603,-0.080920,-0.246396,-0.077887,-0.009147,-0.221182,0.367858,-0.288949,-0.048176,-0.036669
1/5/18,0.137093,0.012144,-0.084057,-0.136047,-0.068476,0.356287,-0.276973,0.215090,0.157028,0.147441,-0.208153,-0.314877,-0.160622,-0.018979,0.259721,-0.239668,0.120412,-0.209548,-0.221195,-0.281895,0.306891,0.222892,0.025009,0.270470,-0.057449,0.385391,0.384877,0.274820,-0.142525,0.191331,-0.063298,-0.279463,0.191990,-0.135077,-0.182592,-0.113611,0.125471,-0.132370,-0.188078,0.088778,-0.075813,-0.290636,-0.231915,0.365863,-0.125682,0.247214,-0.295076,-0.283816,-0.148054,-0.267909,-0.132969,0.050385,-0.266714,-0.037086,-0.144891,-0.059893,0.091278,0.355252,-0.264574,0.359863,0.310915,-0.034421,0.381616,0.340529,-0.214888,0.342994,0.237757,0.139859,-0.161022,0.093644,-0.024933,0.197762,0.117902,0.121623,-0.260714,-0.291941,-0.061371,-0.047756,-0.112872,0.327940,0.229150,-0.288194,-0.096516,0.351290,0.202705,0.400393,0.300958,-0.244415,0.034823,0.020716,-0.054958,0.324788,0.176971,-0.161032,-0.232667,-0.266401,0.210589,0.395180,-0.265144,0.162548,-0.124620,-0.096004,-0.023983,0.316515,0.045169,-0.013872,0.356594,0.006353,-0.067398,0.357299,0.173397,-0.123836,-0.324191,-0.047951,-0.074746,0.182294,0.187811,0.280734,0.136136,-0.080755,0.007343,-0.066417,0.404182,0.008767,0.251193,0.176504,0.122404,0.281539,0.132018,0.064855,-0.060154,0.198247,0.221727,0.341862,-0.023399,-0.194780,-0.092897,0.161532,0.156501,0.329578,0.062791,0.342125,0.379191,-0.072143,0.206370,0.238828,-0.183032
1/6/18,-0.109796,-0.026816,0.073818,-0.046224,0.319188,-0.241415,0.171313,0.056585,0.109360,0.199595,-0.258823,0.239091,0.330066,0.084328,0.149343,-0.168566,0.080152,0.005698,0.241610,-0.149441,0.378794,0.288199,-0.032400,0.068231,0.061771,0.309736,0.336042,0.245949,-0.244920,0.020956,0.294120,-0.090435,-0.113309,0.322469,0.080680,0.004826,0.358912,0.030277,0.271652,0.162212,-0.043959,0.375144,0.039561,0.280148,-0.195726,0.239267,0.117888,0.392821,0.420897,0.110072,0.051736,0.013586,0.401167,-0.274071,-0.066944,-0.139564,-0.150911,0.185662,0.022166,-0.074757,-0.193342,0.005259,-0.207503,0.026529,0.088711,-0.107999,0.298084,-0.199245,-0.185627,0.146618,0.150199,0.144301,0.299284,-0.232665,-0.113198,0.206770,0.083183,-0.225875,0.409828,0.301437,-0.248551,-0.274327,-0.188073,0.069283,-0.246110,0.422646,0.078926,0.215588,-0.151894,0.011088,0.093236,-0.231224,0.396155,-0.231278,-0.047204,-0.250818,-0.151142,0.169267,0.039086,-0.096726,0.327194,0.034368,-0.051442,-0.157247,0.027417,-0.007190,0.316933,-0.052292,0.401679,0.031261,-0.267996,0.238889,-0.100087,-0.041199,0.420046,-0.245778,0.160771,-0.206460,0.417970,0.030902,0.147544,0.240314,-0.121068,0.172045,-0.069845,0.185788,-0.053760,0.338845,0.233818,0.154653,0.398778,-0.040948,0.286126,0.008419,0.051980,0.213832,0.127789,0.098216,0.045201,-0.269291,0.128961,-0.072880,0.410242,-0.235506,0.033486,0.246133,0.066182
1/7/18,-0.019244,0.243980,0.372924,-0.113557,-0.091403,-0.251105,0.332799,-0.020566,0.392304,0.171210,0.403061,0.118114,0.063662,0.277673,0.044876,0.139668,-0.118887,0.254546,0.133097,-0.052377,-0.073627,0.224927,-0.184790,0.214868,0.262624,-0.104499,-0.027275,0.375882,0.046661,-0.067618,-0.202333,-0.275795,0.311083,0.211393,-0.048696,-0.197044,-0.146570,-0.142601,-0.044704,-0.249002,-0.177224,-0.199603,0.016384,-0.057385,0.002739,-0.242267,0.301238,0.329553,0.060938,-0.257385,0.024945,0.163302,-0.226365,0.262004,0.034072,0.183496,-0.158083,0.060204,-0.044925,0.029128,0.215296,-0.237096,-0.157305,0.300568,0.008725,0.009177,0.131175,-0.246962,0.429047,0.004601,0.413057,0.203889,-0.237180,0.423930,0.192733,0.090717,-0.035387,0.028175,0.112523,0.162903,0.212373,-0.240256,-0.220866,-0.012974,0.248859,0.214407,0.202146,-0.022072,0.017546,-0.139184,0.315576,0.422566,0.266460,-0.028891,-0.190182,0.134558,-0.085689,-0.126723,0.300978,0.265012,-0.199963,0.337897,0.041975,-0.186553,-0.167234,-0.137001,-0.063823,0.205487,0.417818,0.369045,0.125727,0.018975,0.002180,0.089617,-0.251020,-0.069267,0.294630,-0.170655,0.233525,0.197777,-0.009895,0.164468,0.003524,0.186603,0.287380,-0.038009,-0.052275,0.058296,0.282723,-0.141896,-0.149744,-0.251817,0.241889,-0.091865,0.288214,0.429163,-0.050981,0.016270,0.072216,-0.206764,-0.021062,0.311126,0.389848,-0.029688,0.397864,0.116535,0.186006
1/8/18,0.132236,0.284712,-0.153470,-0.069695,0.194316,-0.214422,0.123992,0.403410,-0.060777,0.051984,-0.240947,0.380956,0.099522,0.114723,0.365255,0.071924,0.215896,0.357079,0.074500,-0.155676,0.423973,0.192922,0.090699,-0.009093,0.272980,0.178635,0.413562,0.290788,0.286616,0.175272,0.378429,0.053070,-0.044375,-0.110723,0.308082,0.074157,0.184402,0.227708,0.099711,-0.177057,0.052139,0.280378,0.142130,0.126557,0.288077,0.196441,-0.173646,-0.110170,0.009515,0.133538,0.310569,0.051933,-0.110402,0.412657,-0.101695,-0.232996,-0.024803,0.221031,0.327499,0.121826,0.107212,0.115997,0.243404,0.171479,0.163988,-0.199775,-0.096860,0.332842,0.440550,0.271722,0.226692,-0.160059,-0.172052,0.225369,-0.213101,-0.100173,0.367324,0.093201,-0.118573,-0.101433,0.011350,-0.087689,-0.189941,0.171541,0.344849,-0.237699,0.209428,0.191289,-0.163437,0.265246,0.252116,0.321613,0.041365,0.266393,0.221202,0.100543,0.299995,-0.241281,0.256964,0.089099,0.403267,0.279170,0.420392,0.207862,-0.014224,0.292753,0.422090,0.068764,-0.019084,0.287854,0.365339,0.356448,0.423148,-0.009567,0.200693,-0.004351,0.220629,0.020380,-0.157403,0.237703,0.145546,-0.115420,-0.034450,-0.038478,0.331416,-0.234905,0.115974,0.214444,-0.166864,0.136542,-0.202092,0.340413,0.161432,0.368385,-0.022274,-0.244321,-0.183395,0.166751,0.136635,0.316871,0.305485,0.322875,0.206738,0.101319,-0.206733,0.099663,-0.168514
1/9/18,-0.047388,0.155191,0.199471,0.208240,-0.269864,-0.106880,0.034406,0.249897,0.373263,0.414441,-0.139242,-0.140725,-0.044956,-0.268453,0.029205,0.290416,0.257226,0.025408,-0.153877,-0.077831,-0.264065,0.245439,-0.218394,-0.035339,0.416399,-0.023594,-0.125008,0.227309,-0.082549,0.184146,0.338456,0.233790,0.003651,0.269998,-0.198907,0.069372,-0.006936,-0.214412,0.398635,-0.212341,0.334533,-0.242548,0.025439,0.086608,0.367431,0.021049,0.220197,-0.012366,-0.045935,-0.167689,-0.088293,-0.188922,-0.189495,0.334969,-0.177107,0.133749,0.022174,0.105917,0.408265,0.251573,0.058968,0.406581,-0.095238,-0.044261,0.341042,0.349149,0.352388,0.368317,-0.080179,0.036504,0.352475,-0.213468,0.257377,0.021256,-0.247489,0.019493,-0.142634,-0.072715,-0.252188,0.070150,0.247401,0.128576,-0.245481,-0.119280,0.017774,0.324043,0.243431,-0.237887,-0.137440,0.400576,0.136786,0.234082,-0.148318,0.360183,-0.169135,0.134992,0.096444,-0.063652,0.229519,0.215416,-0.088501,-0.082336,-0.258122,0.198189,0.172178,-0.245353,0.079881,0.111346,0.364190,0.024188,0.075327,0.169365,0.085653,-0.123309,0.417466,-0.188058,0.170451,-0.121514,0.067578,-0.145638,0.399081,0.137797,0.243254,-0.025195,0.389988,0.411927,0.322356,0.068159,0.412441,0.421669,0.178758,0.299782,0.007619,0.219860,0.393524,0.156422,0.021826,-0.016383,0.023142,0.305087,0.287674,0.113120,0.356198,0.292518,0.097215,0.330356,-0.087492
1/10/18,-0.158228,-0.015601,-0.268534,0.265583,-0.025933,0.243732,-0.061747,-0.098385,-0.095158,-0.189003,0.083332,0.271794,-0.052513,0.065322,0.134940,0.150504,-0.038087,-0.271771,0.034256,-0.011537,0.010856,-0.193190,0.092339,0.113363,0.394484,0.317662,0.158142,-0.221627,-0.142125,0.190353,0.158468,-0.302779,0.354157,0.284929,-0.031630,-0.160237,0.125489,0.078157,-0.065804,-0.108030,-0.250290,-0.234691,0.072691,-0.128800,0.017868,-0.106820,0.331797,0.259021,0.408937,0.311775,0.014868,0.392548,0.138975,0.245261,0.236425,0.130690,-0.134645,-0.064988,0.243296,-0.150944,0.037263,0.072790,-0.072892,0.057110,-0.301662,0.057359,0.231277,0.167276,0.409217,-0.133811,0.225366,0.210924,0.250405,0.034448,-0.101976,0.261602,-0.122413,0.300103,-0.134718,-0.049249,0.011189,-0.236876,0.314373,-0.134800,0.010574,-0.234616,-0.184189,-0.209906,0.082697,0.228465,0.286647,0.296029,-0.070040,0.031500,0.189875,0.119461,-0.130971,-0.046168,-0.093860,0.175247,0.398705,0.091624,0.250932,-0.265262,0.195842,0.328195,0.090620,0.311172,0.135080,-0.120093,0.360919,-0.158127,0.082214,0.077348,-0.176269,0.060499,-0.259200,-0.280571,-0.262132,0.246554,-0.082717,0.388223,0.019005,0.117694,0.153068,0.041287,-0.179283,0.383191,0.158230,0.243674,0.374446,0.381216,-0.175081,-0.245005,0.102285,0.217194,0.295297,0.411242,0.322669,0.245638,-0.126761,-0.106492,0.003079,0.071165,-0.208584,0.344467,0.063156
